Date,Adj Close, label ,week_return,10day_before,10day_after,10day_before_change,10day_after_change,opposite,label,opposite_label,,
2005/1/30,5879.908203,0,0.005303575,5889.498047,6207.806641,-0.001630951,-0.055765911,0,TRUE,1,,
2005/2/6,6034.577637,0,0.026304736,5848.888184,6193.59668,0.030770911,-0.026351313,1,TRUE,0,,
2005/2/27,6207.806641,0,0.015109201,5879.908203,6204.206543,0.052820337,0.000579931,0,TRUE,-1,,
2005/3/6,6193.59668,0,-0.002289047,6034.577637,6043.927734,0.025674749,0.02416511,0,FALSE,0,,
2005/3/13,6204.206543,0,0.001713037,6207.806641,6065.887695,-0.000580267,0.022294365,1,FALSE,0,,
2005/3/20,6043.927734,0,-0.025833893,6193.59668,6028.727539,-0.024763523,0.002514953,1,FALSE,0,,
2005/3/27,6065.887695,0,0.003633392,6204.206543,6024.047363,-0.022802738,0.006897644,1,FALSE,0,,
2005/4/3,6028.727539,0,-0.006126087,6043.927734,5888.348145,-0.002521294,0.023285078,1,FALSE,0,,
2005/4/10,6024.047363,0,-0.000776312,6065.887695,5747.068848,-0.006945552,0.045978808,1,TRUE,0,,
2005/4/17,5888.348145,0,-0.022526254,6028.727539,5818.04834,-0.023840199,0.011938799,1,FALSE,0,,
2005/4/24,5747.068848,0,-0.023993027,6024.047363,5967.937988,-0.048194745,-0.038431615,0,TRUE,1,,
2005/5/1,5818.04834,0,0.012350555,5888.348145,5981.458008,-0.012083056,-0.028086681,0,FALSE,0,,
2005/5/8,5967.937988,0,0.025762874,5747.068848,5954.667969,0.037009289,0.002223552,0,TRUE,0,,
2005/5/15,5981.458008,0,0.002265442,5818.04834,5991.527344,0.027319371,-0.001683425,1,FALSE,0,,
2005/5/22,5954.667969,0,-0.004478848,5967.937988,6107.927734,-0.002228507,-0.025737752,0,FALSE,0,,
2005/5/29,5991.527344,0,0.006189997,5981.458008,6192.32666,0.001680596,-0.033513878,1,TRUE,0,,
2005/6/5,6107.927734,0,0.019427499,5954.667969,6293.536133,0.025091941,-0.030388113,1,TRUE,0,,
2005/6/12,6192.32666,0,0.013817931,5991.527344,6340.665527,0.032427119,-0.023955272,1,TRUE,0,,
2005/6/19,6293.536133,0,0.016344337,6107.927734,6272.116211,0.02949191,0.00340348,0,FALSE,0,,
2005/6/26,6340.665527,0,0.00748854,6192.32666,6201.376465,0.023394842,0.021967578,0,FALSE,0,,
2005/7/3,6272.116211,0,-0.01081106,6293.536133,6410.56543,-0.003415103,-0.022073765,0,FALSE,0,,
2005/7/10,6201.376465,1,-0.01127845,6340.665527,6380.705566,-0.022460991,-0.028917629,0,FALSE,0,,
2005/7/17,6410.56543,0,0.033732667,6272.116211,6311.956055,0.021597037,0.015382321,0,FALSE,0,,
2005/7/24,6380.705566,0,-0.004657914,6201.376465,6445.985352,0.028104901,-0.01023081,1,FALSE,0,,
2005/7/31,6311.956055,0,-0.010774594,6410.56543,6350.875488,-0.015622633,-0.006165986,0,FALSE,0,,
2005/8/7,6445.985352,-1,0.021234194,6380.705566,6158.916504,0.0101272,0.044534518,0,TRUE,-1,,
2005/8/14,6350.875488,0,-0.014754899,6311.956055,6136.527344,0.0061282,0.03375096,0,TRUE,0,,
2005/8/21,6158.916504,0,-0.030225594,6445.985352,6116.027344,-0.046610284,0.006963751,1,TRUE,0,,
2005/8/28,6136.527344,0,-0.003635243,6350.875488,6119.037598,-0.034929877,0.002850105,1,TRUE,0,,
2005/9/4,6116.027344,0,-0.003340652,6158.916504,6031.217773,-0.007012585,0.013866774,1,FALSE,0,,
2005/9/11,6119.037598,0,0.000492191,6136.527344,5925.518066,-0.002858251,0.031625812,1,TRUE,0,,
2005/9/18,6031.217773,0,-0.014351902,6116.027344,6118.587402,-0.014061766,-0.014486234,0,FALSE,0,,
2005/9/25,5925.518066,1,-0.017525434,6119.037598,6081.817383,-0.032658669,-0.026377325,0,TRUE,0,,
2005/10/2,6118.587402,0,0.032582693,6031.217773,5969.047852,0.014279379,0.024440208,0,FALSE,0,,
2005/10/9,6081.817383,0,-0.00600956,5925.518066,5738.73877,0.025699443,0.056410542,0,TRUE,0,,
2005/10/16,5969.047852,0,-0.018542078,6118.587402,5632.949219,-0.025052496,0.056306909,1,TRUE,0,,
2005/10/23,5738.73877,0,-0.038583889,6081.817383,5911.718262,-0.059782929,-0.030142423,0,TRUE,0,,
2005/10/30,5632.949219,1,-0.018434286,5969.047852,6075.237305,-0.059666548,-0.078518032,0,TRUE,1,,
2005/11/6,5911.718262,0,0.049489003,5738.73877,6106.717773,0.029260442,-0.032985251,1,TRUE,0,,
2005/11/13,6075.237305,0,0.027660155,5632.949219,6128.177734,0.072801779,-0.008714134,1,TRUE,0,,
2005/11/20,6106.717773,0,0.005181768,5911.718262,6228.926758,0.031931967,-0.020012221,1,TRUE,0,,
2005/11/27,6128.177734,0,0.003514156,6075.237305,6264.335938,0.008638853,-0.022218384,1,FALSE,0,,
2005/12/4,6228.926758,0,0.016440291,6106.717773,6350.665527,0.019619589,-0.0195441,1,FALSE,0,,
2005/12/11,6264.335938,0,0.005684636,6128.177734,6512.60498,0.021735457,-0.03963214,1,TRUE,0,,
2005/12/18,6350.665527,0,0.013781124,6228.926758,6548.314941,0.019169451,-0.03112263,1,TRUE,0,,
2005/12/25,6512.60498,0,0.025499604,6264.335938,6694.793945,0.038121311,-0.027974822,1,TRUE,0,,
2006/1/1,6548.314941,0,0.005483207,6350.665527,6682.324707,0.030183248,-0.020464771,1,TRUE,0,,
2006/1/8,6694.793945,0,0.022368961,6512.60498,6486.60498,0.027213528,0.031097143,0,TRUE,-1,,
2006/1/15,6682.324707,0,-0.001862528,6548.314941,6532.155273,0.020054363,0.022472633,0,FALSE,0,,
2006/1/22,6486.60498,0,-0.029289167,6694.793945,6594.575195,-0.032095212,-0.016645104,0,TRUE,0,,
2006/1/29,6532.155273,0,0.007022209,6682.324707,6594.89502,-0.022989263,-0.009604754,0,FALSE,0,,
2006/2/5,6594.575195,0,0.009555793,6486.60498,6673.724609,0.016372581,-0.012002201,1,FALSE,0,,
2006/2/12,6594.89502,0,4.84982E-05,6532.155273,6538.195313,0.009513381,0.008597515,0,FALSE,0,,
2006/2/19,6673.724609,0,0.011953123,6594.575195,6553.635254,0.011859856,0.017994353,0,FALSE,0,,
