"日期","收市","開市","高","低","成交量","更改%"
"2014年4月3日","448.8","440.6","462.0","422.0","0.68K","1.23%"
"2014年4月2日","443.3","479.2","490.5","435.8","0.95K","-8.18%"
"2014年4月1日","482.8","460.3","486.0","451.4","0.94K","6.82%"
"2014年3月31日","452.0","478.6","485.0","443.1","0.08K","-2.61%"
"2014年3月30日","464.1","493.0","493.0","440.4","0.14K","-5.66%"
"2014年3月29日","491.9","506.2","507.0","491.0","0.02K","-1.11%"
"2014年3月28日","497.4","525.0","525.0","490.0","0.23K","-0.22%"
"2014年3月27日","498.5","582.4","589.3","498.5","0.24K","-16.21%"
"2014年3月26日","595.0","580.0","595.0","570.0","0.54K","2.23%"
"2014年3月25日","582.0","586.6","586.7","579.1","0.31K","-1.35%"
"2014年3月24日","590.0","560.4","590.0","552.0","0.35K","4.20%"
"2014年3月23日","566.2","570.3","570.3","566.2","0.01K","1.11%"
"2014年3月22日","560.0","560.0","562.9","550.0","0.01K","-1.55%"
"2014年3月21日","568.8","581.0","605.4","568.8","0.70K","-2.52%"
"2014年3月20日","583.5","610.0","639.2","583.5","0.49K","-4.50%"
"2014年3月19日","611.0","622.9","622.9","611.0","0.11K","-1.19%"
"2014年3月18日","618.4","623.1","623.9","610.9","0.49K","-0.95%"
"2014年3月17日","624.3","635.0","635.7","624.0","0.60K","-1.68%"
"2014年3月16日","635.0","640.1","640.1","635.0","0.04K","-1.03%"
"2014年3月15日","641.6","636.9","641.6","636.9","0.00K","1.85%"
"2014年3月14日","630.0","632.9","639.0","630.0","0.56K","-1.87%"
"2014年3月13日","642.0","633.5","645.1","633.5","0.04K","-1.23%"
"2014年3月12日","650.0","615.0","650.0","615.0","0.86K","5.69%"
"2014年3月11日","615.0","615.0","615.0","613.5","0.05K","0.00%"
"2014年3月10日","615.0","621.0","621.0","612.8","0.12K","-0.97%"
"2014年3月9日","621.0","610.5","621.0","609.4","0.05K","1.12%"
"2014年3月8日","614.1","621.0","621.0","600.2","0.06K","-1.11%"
"2014年3月7日","621.0","663.0","663.0","614.0","0.76K","-6.33%"
"2014年3月6日","663.0","673.4","675.0","657.0","0.96K","-1.78%"
"2014年3月5日","675.0","658.0","675.8","658.0","0.49K","1.05%"
"2014年3月4日","668.0","654.7","675.0","652.6","0.47K","1.52%"
"2014年3月3日","658.0","571.5","685.0","569.7","0.67K","17.37%"
"2014年3月2日","560.6","570.9","583.5","560.0","0.01K","-1.34%"
"2014年3月1日","568.2","565.0","571.8","560.0","0.06K","0.57%"
"2014年2月28日","565.0","575.5","590.3","544.9","0.34K","-2.42%"
"2014年2月27日","579.0","592.5","592.5","565.7","0.01K","-0.52%"
"2014年2月26日","582.0","548.7","594.5","544.0","0.72K","13.01%"
"2014年2月25日","515.0","554.0","567.0","425.0","1.91K","-8.43%"
"2014年2月24日","562.4","597.3","597.3","562.4","0.01K","-9.14%"
"2014年2月23日","619.0","597.7","624.1","597.7","0.02K","4.00%"
"2014年2月22日","595.2","587.6","602.8","563.7","0.00K","4.79%"
"2014年2月21日","568.0","565.2","591.5","548.5","0.06K","-1.88%"
"2014年2月20日","578.9","633.0","633.0","574.8","0.04K","-8.17%"
"2014年2月19日","630.4","634.2","638.0","628.0","0.10K","0.38%"
"2014年2月18日","628.0","660.0","660.0","622.0","0.05K","-5.40%"
"2014年2月17日","663.8","626.0","663.8","626.0","0.03K","9.19%"
"2014年2月16日","608.0","650.0","650.0","608.0","0.11K","-6.95%"
"2014年2月15日","653.4","652.9","655.7","650.0","0.02K","-4.20%"
"2014年2月14日","682.0","622.0","724.0","565.2","0.46K","7.53%"
"2014年2月13日","634.3","671.9","671.9","630.0","0.04K","-7.41%"
"2014年2月12日","685.0","691.1","691.1","650.0","0.06K","3.97%"
"2014年2月11日","658.9","739.0","761.7","653.3","0.13K","-6.72%"
"2014年2月10日","706.3","720.0","739.0","642.0","0.11K","-0.52%"
"2014年2月9日","710.0","702.6","720.0","702.6","0.10K","2.90%"
"2014年2月8日","690.0","700.0","716.4","690.0","0.05K","-4.17%"
"2014年2月7日","720.0","750.3","755.1","677.0","0.28K","-6.68%"
"2014年2月6日","771.6","793.0","793.0","768.0","0.16K","-2.46%"
"2014年2月5日","791.0","807.0","808.0","791.0","0.33K","-2.71%"
"2014年2月4日","813.0","810.8","813.2","808.3","0.12K","0.37%"
"2014年2月3日","810.0","806.8","814.1","801.7","0.14K","-0.57%"
"2014年2月1日","814.6","801.9","814.6","801.9","0.01K","1.83%"
"2014年1月31日","800.0","801.7","803.3","791.8","0.22K","-0.49%"
"2014年1月30日","803.9","794.4","803.9","785.4","0.27K","0.49%"
"2014年1月29日","800.0","789.0","800.0","783.6","0.13K","0.63%"
"2014年1月28日","795.0","779.8","812.0","770.0","0.56K","4.57%"
"2014年1月27日","760.3","810.9","810.9","757.0","0.74K","-6.10%"
"2014年1月26日","809.7","804.2","823.9","731.0","0.15K","-0.04%"
